RollVelocity , FinalVel2
0 , -nan
1.1608e-33 , -0.0107935
1.1608e-33 , -0.0108263
1.1608e-33 , -0.010826
1.1608e-33 , -0.010825
5.80398e-34 , -0.0108271
5.80398e-34 , -0.0108196
5.80398e-34 , -0.0108317
5.80398e-34 , -0.0108206
5.80398e-34 , -0.010823
2.90199e-34 , -0.0108617
2.90199e-34 , -0.0107979
2.90199e-34 , -0.0108457
2.90199e-34 , -0.0107915
2.90199e-34 , -0.010823
1.45099e-34 , -0.0108575
1.45099e-34 , -0.0108359
1.45099e-34 , -0.0107762
1.45099e-34 , -0.0108379
1.45099e-34 , -0.010864
7.25497e-35 , -0.0107894
7.25497e-35 , -0.0108446
7.25497e-35 , -0.010826
7.25497e-35 , -0.0108044
7.25497e-35 , -0.0108206
3.62748e-35 , -0.0108348
3.62748e-35 , -0.0108423
3.62748e-35 , -0.0108219
3.62748e-35 , -0.0108227
3.62748e-35 , -0.0108521
1.81374e-35 , -0.0108013
1.81374e-35 , -0.0108033
1.81374e-35 , -0.0108304
1.81374e-35 , -0.0108111
1.81374e-35 , -0.0108281
9.06871e-36 , -0.0108531
9.06871e-36 , -0.0108199
9.06871e-36 , -0.0108183
9.06871e-36 , -0.0108284
9.06871e-36 , -0.0108098
4.53436e-36 , -0.0108219
4.53436e-36 , -0.0108335
4.53436e-36 , -0.0108101
4.53436e-36 , -0.0108369
4.53436e-36 , -0.0108131
2.26718e-36 , -0.0108402
2.26718e-36 , -0.0108196
2.26718e-36 , -0.0108291
2.26718e-36 , -0.0108155
2.26718e-36 , -0.010826
1.13359e-36 , -0.0108304
1.13359e-36 , -0.0108162
1.13359e-36 , -0.0108467
1.13359e-36 , -0.0108101
1.13359e-36 , -0.0108671
5.66794e-37 , -0.0108023
5.66794e-37 , -0.0108023
5.66794e-37 , -0.0108263
5.66794e-37 , -0.0108227
5.66794e-37 , -0.010864
2.83397e-37 , -0.0107904
2.83397e-37 , -0.010823
2.83397e-37 , -0.0108433
2.83397e-37 , -0.010826
2.83397e-37 , -0.0108111
1.41699e-37 , -0.0108294
1.41699e-37 , -0.0108098
1.41699e-37 , -0.0108325
1.41699e-37 , -0.0108382
1.41699e-37 , -0.0108131
7.08493e-38 , -0.0108433
7.08493e-38 , -0.0108023
7.08493e-38 , -0.0108619
7.08493e-38 , -0.0107837
7.08493e-38 , -0.0108392
3.54247e-38 , -0.0108488
3.54247e-38 , -0.0108121
3.54247e-38 , -0.010824
3.54247e-38 , -0.0108088
3.54247e-38 , -0.010824
1.77123e-38 , -0.0108291
1.77123e-38 , -0.0108175
1.77123e-38 , -0.0108273
1.77123e-38 , -0.0108335
1.77123e-38 , -0.0108165
8.85616e-39 , -0.0108206
8.85616e-39 , -0.0108521
8.85616e-39 , -0.0108033
8.85616e-39 , -0.010826
8.85616e-39 , -0.0108186
4.42808e-39 , -0.010825
4.42808e-39 , -0.0108413
4.42808e-39 , -0.0108088
4.42808e-39 , -0.0107948
4.42808e-39 , -0.0108942
2.21404e-39 , -0.0108348
2.21404e-39 , -0.0107948
2.21404e-39 , -0.0108119
2.21404e-39 , -0.0108284
2.21404e-39 , -0.0108142
1.10702e-39 , -0.0108619
1.10702e-39 , -0.0108088
1.10702e-39 , -0.0108508
1.10702e-39 , -0.0108013
1.10702e-39 , -0.0108402
5.5351e-40 , -0.010799
5.5351e-40 , -0.0108196
5.5351e-40 , -0.0108284
5.5351e-40 , -0.0108165
5.5351e-40 , -0.0108227
2.76755e-40 , -1.97296
2.76755e-40 , -1.96844
2.76755e-40 , -1.97119
2.76755e-40 , -1.97389
2.76755e-40 , -0.860813
-0.266686 , -1.01066
-0.266686 , -1.01006
-0.266686 , -1.00971
-0.266686 , -1.01198
-0.266686 , -0.626607
-0.940026 , -0.965433
-0.940026 , -0.965436
-0.940026 , -0.965513
-0.940026 , -0.832094
-0.940026 , -0.831448
-0.854902 , -0.69179
-0.854902 , -0.691131
-0.854902 , -0.692135
-0.854902 , -0.594699
-0.854902 , -0.594544
-0.884882 , -0.525651
-0.884882 , -0.525865
-0.884882 , -0.499039
-0.884882 , -0.499848
-0.884882 , -0.497061
-0.695453 , -0.309505
-0.695453 , -0.30838
-0.695453 , -0.285456
-0.695453 , -0.285339
-0.695453 , -0.285123
-0.58678 , -0.154245
-0.58678 , -0.0624943
-0.58678 , -0.0613317
-0.58678 , -0.0620693
-0.58678 , -0.0616443
-0.367427 , 0.0797575
